COLLISION_ID,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
3531371,1,0,1,0,0,0,0,0
4487185,0,0,0,0,0,0,0,0
4042700,0,0,0,0,0,0,0,0
1015591,0,0,0,0,0,0,0,0
3523309,0,0,0,0,0,0,0,0
4513572,0,0,0,0,0,0,0,0
3526141,0,0,0,0,0,0,0,0
4513495,0,0,0,0,0,0,0,0
4513735,1,0,0,0,1,0,0,0
4050962,0,0,0,0,0,0,0,0
4514139,1,0,1,0,0,0,0,0
1010920,0,0,0,0,0,0,0,0
1015204,1,0,0,0,1,0,0,0
4041849,0,0,0,0,0,0,0,0
4050935,0,0,0,0,0,0,0,0
4054207,1,0,0,0,0,0,1,0
3527533,0,0,0,0,0,0,0,0
4050410,0,0,0,0,0,0,0,0
1013924,3,0,0,0,0,0,3,0
1012674,0,0,0,0,0,0,0,0
3534526,2,0,0,0,0,0,2,0
3521342,0,0,0,0,0,0,0,0
3529823,0,0,0,0,0,0,0,0
3090991,0,0,0,0,0,0,0,0
4044028,0,0,0,0,0,0,0,0
4054662,1,0,0,0,0,0,1,0
1012212,0,0,0,0,0,0,0,0
1009530,0,0,0,0,0,0,0,0
4046016,0,0,0,0,0,0,0,0
3536794,0,0,0,0,0,0,0,0
1005463,2,0,0,0,0,0,2,0
3533525,0,0,0,0,0,0,0,0
3533960,0,0,0,0,0,0,0,0
3528491,0,0,0,0,0,0,0,0
4513637,1,0,0,0,0,0,1,0
1005818,0,0,0,0,0,0,0,0
4514202,2,0,0,0,0,0,2,0
4047078,0,0,0,0,0,0,0,0
1010671,2,0,0,0,0,0,2,0
4514125,0,0,0,0,0,0,0,0
4513587,0,0,0,0,0,0,0,0
3524756,0,0,0,0,0,0,0,0
4513752,0,0,0,0,0,0,0,0
3534054,0,0,0,0,0,0,0,0
4053229,0,0,0,0,0,0,0,0
3524304,1,0,0,0,1,0,0,0
3532044,0,0,0,0,0,0,0,0
4514166,0,0,0,0,0,0,0,0
3521680,0,0,0,0,0,0,0,0
4456512,0,0,0,0,0,0,0,0
1011452,0,0,0,0,0,0,0,0
3533678,0,0,0,0,0,0,0,0
1002234,1,0,0,0,0,0,1,0
4514420,1,0,1,0,0,0,0,0
2958301,2,0,0,0,0,0,2,0
3535289,0,0,0,0,0,0,0,0
4061250,1,0,0,0,0,0,1,0
4513515,0,0,0,0,0,0,0,0
1004840,0,0,0,0,0,0,0,0
4456919,0,0,0,0,0,0,0,0
4054394,1,0,1,0,0,0,0,0
4513565,1,0,1,0,0,0,0,0
3524104,0,0,0,0,0,0,0,0
4049552,0,0,0,0,0,0,0,0
3531942,1,0,1,0,0,0,0,0
3534662,0,0,0,0,0,0,0,0
4513795,0,0,0,0,0,0,0,0
3521857,0,0,0,0,0,0,0,0
3536846,0,0,0,0,0,0,0,0
3528219,0,0,0,0,0,0,0,0
4040031,0,0,0,0,0,0,0,0
4485170,0,0,0,0,0,0,0,0
1010824,0,0,0,0,0,0,0,0
4485036,0,0,0,0,0,0,0,0
4054865,0,0,0,0,0,0,0,0
1012856,0,0,0,0,0,0,0,0
4514215,0,0,0,0,0,0,0,0
3522056,0,0,0,0,0,0,0,0
4053246,0,0,0,0,0,0,0,0
3527775,0,0,0,0,0,0,0,0
3526999,0,0,0,0,0,0,0,0
1014541,0,0,0,0,0,0,0,0
3530932,5,0,0,0,0,0,5,0
1008201,0,0,0,0,0,0,0,0
1005058,0,0,0,0,0,0,0,0
1014101,1,0,1,0,0,0,0,0
3537370,2,0,0,0,0,0,2,0
4513573,0,0,0,0,0,0,0,0
3526241,0,0,0,0,0,0,0,0
4052397,0,0,0,0,0,0,0,0
